id,dialogue,scam_type,language,label,label_description
29,"Good afternoon, I'm calling from a consumer research firm. We're conducting a survey on digital payments. Just 3 minutes? Okay sure. Great. Do you use UPI or debit card more often? UPI mostly. Wonderful. Last question — what is your approximate monthly spend on online shopping? Why do you need that? That seems personal. It's only for statistical purposes, no personal data is stored. I'd rather not share that.",survey_call,English,1,slightly_suspicious
30,"Hello sir, naan market research firm-la irundhu call pannuren. FMCG survey, just 2 minutes. Enna survey? Sir, unga grocery shopping habits pathi. End-la 300 rupees Paytm cash gift. Free gift-aa? Seri, kelu. Sir, monthly grocery spending evlo? Idhu personal question. Yen kelkureenga? Statistical purpose only sir. No data stored.",survey_call,Tamil-English,0,neutral
31,"Namaste sir, main ek consumer survey ke liye call kar rahi hoon. Naye government scheme ke baare mein. Kaun sa scheme? PM Awas Yojana ke benefits ke baare mein. Aap eligible hain. Mujhe kaise pata? Sir, bas income details bata dijiye, main check karti hoon. Pehle official website ka link bhejo. Main verify karunga.",survey_call,Hindi-English,0,neutral
32,"Good evening sir, I'm calling from a wealth management firm. We have an investment opportunity with 18% annual returns. 18% seems very high. Which company is this? Sir, it's a new fintech startup backed by prominent investors. Very limited slots. Can you send me the SEBI registration details? Of course sir. Let me get your email. Please send official documentation first. I'll review before deciding.",investment_fraud,English,1,slightly_suspicious
33,"Hello sir, main ek investment platform se Sanjay bol raha hoon. Cryptocurrency arbitrage mein 20% monthly return guaranteed. 20% monthly? That's 240% annually? Haan sir, algorithm-based trading. Very safe. Koi SEBI registration hai? Sir, crypto unregulated hai, SEBI nahi lagti. But trusted platform hai. Main pehle research karunga.",investment_fraud,Hindi-English,1,slightly_suspicious
34,"Hello madam, this is from a mutual fund advisory. We have a new SIP with guaranteed 15% returns. Mutual funds don't guarantee returns. That's unusual. Madam, this is a special fixed-return scheme. Can you share the offer document? Sending shortly madam. Please do. I'll consult my financial advisor before investing.",investment_fraud,English,1,slightly_suspicious
35,"Sir, naan government welfare department-la irundhu pesuren. PM Kisan scheme-la unga name register aayiruchu. Enakku theriyaadhe. Sir, 2000 rupees quarterly benefit. Bas Aadhaar number verify pannunga. Official portal-la irukka? Haan sir, pm-kisan.gov.in. But direct verification faster. Naan portal-la login pannuren. Ange confirm pannuvein.",govt_scheme,Tamil-English,1,slightly_suspicious
36,"Hello, this is from PM Mudra Loan scheme helpline. You are eligible for 5 lakh business loan with minimal interest. How did you get my number? Sir, from MSME registry. Just basic verification needed. What verification? Bank account number and GST number. I'll apply through official MUDRA website only. Thank you.",govt_scheme,English,1,slightly_suspicious
37,"Hello sir, this from Flipkart refund team. Your last order has eligible refund of 800 rupees. Which order? The electronics order from last week sir. We need to verify your registered email. What do you need exactly? Just your registered mobile number to trigger refund. Why would you need my number? You should already it if I ordered from Flipkart. Standard verification sir. I'll check the refund directly on app.",refund_scam,English,1,slightly_suspicious
38,"Namaste sir, Amazon refund department se bol raha hoon. Aapka 1200 rupees refund pending hai. Kaun sa order? Kitchen appliances ka sir. Please registered number confirm karein. Aap mujhe number kyun pooch rahe ho? Aapke paas hona chahiye. Sir, system update ke baad data lost ho gaya. Main app par check karta hoon.",refund_scam,Hindi-English,2,scam
39,"Vanakkam madam, naan Federal Bank-la irundhu Rajan pesuren. Unga account-la unusual login detect aayiruchu. Enna? Enakku theriyaadhe! Madam, someone is trying to access your account from a different city. To block immediately, OTP share pannunga. OTP share pannuvaa? Madam, time waste panna vendaam. 30 seconds-la account empty aayidum. Illa, naan bank-ku directly call pannuren. Unga number block panni. Madam please— Call cut pannuren.",bank_fraud,Tamil-English,2,scam
40,"Sir, naan ICICI Bank fraud cell-la irundhu pesuren. Unga net banking-la suspicious login irukkku. Enna? How? Sir, Tamil Nadu-la irundhu login attempt. Unga account protect panna, ATM card last 4 digits sollunga. Adhellam phone-la sollla maatein. Sir, unga account block aagum. Aagattum. Naan bank-ku poven. Idhu scam.",bank_fraud,Tamil-English,2,scam
41,"Hello madam, naan SBI Net Banking team-la irundhu call pannuren. Madam unga internet banking password expire aayiruchu. Okay, enna pannanum? Madam, over phone reset pannalam. Unga current password sollunga first. Password phone-la solluvaa? Madam it's secure protocol. Illai sir, naan branch-ku poven. Idhu scam-a irukku.",bank_fraud,Tamil-English,2,scam
42,"Hello sir, main SBI Cyber Cell se bol raha hoon. Aapke account mein kal raat fraudulent transaction attempt hua. Kya? Main kuch nahi jaanta. Sir, 45,000 rupees debit hone wale the. Abhi block kiya hai. Lekin aapka OTP chahiye to cancel the request permanently. OTP kyun chahiye? Sir, OTP se hi cancel hoga. Jaldi batao. Nahi sir, main khud bank jaata hoon. OTP kisi ko nahi dunga.",bank_fraud,Hindi-English,2,scam
43,"Namaste sir, main Punjab National Bank se Ankit bol raha hoon. Aapka debit card kisi ne online use kiya. Kab? Aaj subah 6 baje, Amazon US se 15,000 rupees ka transaction. Maine nahi kiya! Sir, refund ke liye hume aapka CVV aur OTP chahiye. CVV refund ke liye kyun? Sir, system verification hai. Jaldi karo warna time limit hai. Yeh fraud lag raha hai. Main helpline pe call karta hoon.",bank_fraud,Hindi-English,2,scam
44,"Hello, Axis Bank se Neha bol rahi hoon. Aapke account mein China se login attempt hua. China se? Haan sir. Account lock hone se bachane ke lyie Aadhaar number batao. Aadhaar kyun? Identity verification ke liye. Main khud bank portal par jaata hoon. Apa fraud ho.",bank_fraud,Hindi-English,2,scam
45,"Good morning, this is Officer Rahul from SBI's digital security team. We detected an unauthorized login to your account. That's alarming. What should I do? Please confirm your account number and the OTP sent to your number so we can secure the account immediately. I received an OTP but it says ""Do not share with anyone."" That disclaimer is just standard. For bank officials it's required to proceed. No, I won't share it. I'll visit the branch. Sir, by the time you get there the account may be drained— Goodbye. This is a scam.",bank_fraud,English,2,scam
46,"Hello, this is from HDFC digital banking. Your account shows a suspicious transaction of 38,000 rupees. What? When? Just now sir. To reverse it we need your CVV and card expiry date. Why would you need CVV to reverse a transaction? It's a new RBI mandate for fraud reversal. I've never heard of that. I'm calling HDFC helpline directly. Sir that will take too long— I'll take that chance. Goodbye.",bank_fraud,English,2,scam
47,"Congratulations! You've been selected as the winner of Amazon's 5th anniversary lucky draw! You've won a brand new iPhone 15 and 50,000 cash! I don't remember entering any draw. Sir, it was automatic. Your mobile number was randomly selected from Prime customers. What do I need to do? Just pay a processing and courier charge of 3,500 rupees and the prize will be dispatched. Pay to receive a prize? That's a scam. Sir, this is completely legitimate— Blocking this number now.",lottery_scam,English,2,scam
48,"Hello sir, you have won TATA Motors lucky draw! First prize a brand new Tata Nexon! I never participated. Sir, it an automatic lucky draw for all registered voters in your constituency. That sounds very strange. Sir, just pay 10,000 registration charges and car is yours. Nobody charges you to collect a car you've won. This a scam. Sir please— Disconnecting.",lottery_scam,English,2,scam
49,"Badhai ho sir! Aap Flipkart Diwali Bumper Draw mein 2 lakh rupees jeete hain! Maine Flipkart lottery mein participate nahi kiya tha. Sir, yeh automatically sab Prime customers ke liye tha. Paisa kaise milega? Sir, pehle GST 18,000 rupees Paytm karo. Uske baad full amount aapke account mein 30 minutes mein. Jeeto aur phir pehle paisa do? Yeh pakka fraud hai. Sir sach bol raha hoon— Karo call cut.",lottery_scam,Hindi-English,2,scam
50,"Hello sir! Aap IRCTC anniversary lucky draw ke winner hain! 1 lakh ka prize! IRCTC prize? Haan sir, aapne pichle mahine ticket book kiya tha, usi se entry hui. Claim kaise karun? Sir, GST aur processing fee 12,000 rupees bhejne honge pehle. Prize milne ke baad fee kyun? Niyam hai sir. Baat nahi karni aapse. Scam hai yeh.",lottery_scam,Hindi-English,2,scam
51,"Vanakkam sir! Neenga Reliance Jio anniversary draw-la Honda City jeetchirukinga! Car-aa? Naan participate pannalaye? Sir, all Jio users-ku automatic entry irukkku. Unga number lucky-aa select aayiruchu. Eppadi claim pannuvein? Sir, RTO registration 25,000 rupees advance-aa pay pannanum. Aprom car deliver pannuvom. Car jeetchavanukku yen advance pay pannanum? Scam-nu theriyudhu. Sir please— Call cut.",lottery_scam,Tamil-English,2,scam
52,"Congratulations sir! Neenga Samsung Galaxy S24 Ultra won pannirkinga lucky draw-la! Naan participate pannale. Sir, Samsung India registered customers-ku automatic draw. Eppadi receive pannuvein? Sir, delivery charge 4500 Google Pay-la pay pannunga. Aprom courier pannuvom. Product claim panna pay pannuvaa? Scam dhaane idhu. No sir, genuine dhaan— Illa, poyen.",lottery_scam,Tamil-English,2,scam
53,"Hello, this is Officer Sharma fromm the Income Tax Department, Enforcement Division. Yes? Sir, there is a case registered against you for tax evasion of 3.5 lakh rupees from financial year 2022-23. I filed my returns on time. Oru forensic audit says otherwise. A warrant is being issued. But you can settle this now by paying 50,000 rupees. A warrant? Send me official notice. No notice is sent before arrest sir. Pay immediately via UPI or face consequences. I'll contact my CA and a lawyer. This sounds like fraud.",tax_fraud,English,2,scam
54,"This is CBI Officer Mehta. You are under investigation for money laundering. What? I'm a salaried employee. Sir, your account received suspicious transfers. You need to cooperate or face arrest today. I need a legal notice for that. Sir, emergency powers allow immediate action. Transfer 1 lakh to a safe government account. Government doesn't take money over phone. This is a scam. I'm reporting this call.",tax_fraud,English,2,scam
55,"Sir, Income Tax department se bol raha hoon. Aapka refund 35,000 rupees pending hai. Sach mein? Haan sir. Process ke liye aapka net banking login ID aur password chahiye. Login ID password kisi ko nahi deta. Sir, bina iske refund nahi hoga. IT department kabhi password nahi maangti. Yeh scam hai.",tax_fraud,Hindi-English,2,scam
56,"Hello sir, this is Microsoft technical support. Your computer has been sending error alerts to our servers. Errors? What kind? Sir, your Windows license has been flagged for suspicious activity. Your personal data is at risk. What do I need to do? Please download our remote access software and give us access to fix it. Microsoft doesn't call users proactively for errors. This is a scam. Sir, your data will be wiped— Goodbye.",tech_support,English,2,scam
57,"Hello, this is Google security team. Your Gmail account has been accessed from an unknown device. Oh no, really? Yes madam. To protect your account, please share the OTP sent to your phone. It says for Gmail account verification. Yes madam, that's the security code. Please share. Wait, Google would never ask for OTP over a call. This is a phishing scam. Madam please— Reporting this number.",tech_support,English,2,scam
58,"Namaste sir, main HP technical support se bol raha hoon. Aapka printer malware se infected hai. Printer malware? Possible hai? Haan sir, modern printers mein virus ho sakta hai. Remote access dedo, abhi fix kar deta hoon. Remote access printer ko? Sir, computer se connect hai, isliye computer bhi risk mein hai. HP kabhi is tarah call nahi karta. Yeh scam lagta hai.",tech_support,Hindi-English,2,scam
59,"Sir, naan Apple India support-la irundhu pesuren. Unga iPhone iCloud account hack aayiruchu. Hack-aa? Aama sir. Unga Apple ID password share pannunga, naan reset pannuren. Apple ID password share panna solluvingalaa? Absolute scam. Sir time waste panna vendaam— Call cut.",tech_support,Tamil-English,2,scam
60,"Hello sir, this is from FedEx India. We have a parcel from Dubai in your name containing important documents and cash. From Dubai? I don't know anyone there. Sir, it was sent by your relative. The parcel is held at customs. You need to pay a 7,500 rupees customs clearance fee. Cash in a parcel? And customs over a phone call? Sir, it's urgent. Pay immediately or parcel will be returned. This is obviously a scam. I'm not paying anything.",delivery_scam,English,2,scam
61,"Namaste madam, main DHL Express se bol rahi hoon. Aapka parcel London se aaya hai. Customs clearance ke liye 4,500 rupees pay karne honge. London se mujhe koi parcel nahi bheja. Madam, unke paas aapka address tha. London mein mera koi nahi. Yeh fraud hai. Madam, warna parcel destroy ho jayega— Call cut.",delivery_scam,Hindi-English,2,scam
62,"Hello sir, naan BlueDart customs-la irundhu call pannuren. Sir, unga name-la parcel irukku. America-la irundhu vanthirukkuu. America-la enakku therinja aar illai. Sir, unga address irundhuchu. Customs duty 8000 rupees pay pannanum. America-la irundhu parcel, customs call phone-la? Scam dhaan.",delivery_scam,Tamil-English,2,scam
63,"Hi, is this Anand? Yes, who's this? Hi Anand! I'm Preethi. We matched on a dating app last week. Remember? I don't think so, I don't use dating appps. Maybe you're confusing it with another app. Anyway, I'm in trouble. I'm stranded at the airport and lost my wallet. Can you transfer 5,000 rupees? We've never met and you're asking for money? This is a scam. Anand please, I'll payy back— Blocking this number.",social_engineering,English,2,scam
64,"Hello sir, main Riya bol rahi hoon. Humne pichle week Instagram par baat ki thi. Remember? Mujhe yaad nahi hai. Sir, mujhe abhi emergency hai. Meri maa hospital mein hain. 8,000 rupees chahiye. Kal wapas kar dungi. Hum stranger hain. Mujhse paise kyun maangrahi ho? Sir please, I'm desperate— Yeh fraud call hai. Karo cut.",social_engineering,Hindi-English,2,scam
65,"Hello sir, I'm calling from a multinational company's HR team. You applied for a data entry position online. Okay yes, I did. Congratulations, you've been selected! We just need a registration fee of 2,500 rupees to process your appointment letter. Registration fee for a job? Yes sir, it's refundable after 3 months. No legitimate company charges for joining. This is a job scam.",job_scam,English,2,scam
66,"Namaste sir, aapka resume Naukri.com par dekha. Hum aapko 50,000 per month WFH job offer kar rahe hain. Kaunsi company hai? TechGlobal Solutions sir, Bangalore se. Selection ho gaya. Bas 3,000 rupees training kit fee bhejni hai. Job ke liye training fee? Sir, refundable hai. Koi bhi legitimate company joining fee nahi leti. Scam hai yeh.",job_scam,Hindi-English,2,scam
67,"Hello madam, naan HR team-la irundhu call pannuren. Unga resume-la naan pathen. Work from home job, 35000 monthly. Enna work? Data entry madam. Selected aayinga. Registration 2000 rupees pay pannunga. Job-ku registration fee-aa? Refundable madam. Genuine job-la yen fee pay pannanum? Scam dhaan idhu.",job_scam,Tamil-English,2,scam
68,"Hello, this is from BESCOM electricity department. Your electricity will be disconnected in 2 hours due to pending dues. I pay my bills regularly! Sir, our system shows an arrear of 3,200 rupees. Pay via UPI immediately to avoid disconnection. I'll check my BESCOM app. Sir, no time! Pay now on this UPI ID. BESCOM app shows no dues. You're a fraud. Sir the system may not be updated— Goodbye!!",utility_scam,English,2,scam
69,"Namaste sir, BSES electricity office se bol raha hoon. Aapke ghar ki bijli 1 ghante mein kategi. Kyun? Bill pending hai 2,800 rupees. Abhi UPI pe bhejo. Main app check karta hoon... koi pending nahi dikh raha. Sir app update nahi hua. Aap fraud ho. Main helpline pe report karta hoon.",utility_scam,Hindi-English,2,scam
70,"Hello sir, naan TNEB electricity department-la irundhu call pannuren. Unga connection 1 hour-la cut aagum. Yen? Sir, bill pending 1800 rupees. Ippo UPI pay pannunga. Naan app check pannuren... dues illaye? Sir app update aagale. TNEB number-ku directly call pannuren. Neenga fraud!!!",utility_scam,Tamil-English,2,scam
71,"Hello sir, this is from National Insurance. Your policy claim of 80,000 rupees is approved! Really? Which policy? Your motor insurance sir. Just pay a processing fee of 5,000 rupees for release. A processing fee to receive my own claim money? Standard protocol sir. That's not how insurance claims work. This is fraud.",insurance_fraud,English,2,scam
72,"Sir, main LIC agent se bol raha hoon. Aapki policy ka bonus 1.2 lakh approved hua hai. Kaunsi policy? Endowment plan sir. Sirf 7,000 rupees service charge bhejo, pura amount aayega. Bonus release ke liye charge? Aisa nahi hota. Sir genuine hai— LIC helpline pe confirm karunga. Aap fraud lagte ho.",insurance_fraud,Hindi-English,2,scam
73,"Vanakkam sir, naan LIC-la irundhu call pannuren. Unga policy bonus 90,000 rupees approve aayiruchu. Enna policy? Sir, endowment plan. Just 6,000 rupees processing fee pay pannunga. Bonus release-ku fee-aa? Idhu insurance-la illave. Sir genuine— LIC helpline-ku call pannuren. Neenga fraud.",insurance_fraud,Tamil-English,2,scam
74,"Hello sir, this is from TRAI (Telecom Regulatory Authority). Your mobile number has been flagged for sending 50 spam messages. I never sent spam. Sir, your number will be permanently blocked in 2 hours. To avoid this, press 9 to speak with our executive. TRAI doesn't call users directly. This is a robocall scam. Sir this is genuine— Blocking.",sim_block_scam,English,2,scam
75,"Sir, TRAI se call aa rahi hai. Aapka number fake documents use karke register hua hai. Aaj look, raat block hoga. Kya? Main listen, legitimate user hoon. Sir, block rokne ke liye Aadhaar number verify karo. TRAI is tarah call nahi karta. Yeh fraud hai.",sim_block_scam,Hindi-English,2,scam
76,"Hello sir, naan TRAI-la irundhu call pannuren. Unga number illegal activity-ku use aayiruchu. Tonight block aagum. Naan illegal activity pannalaye. Sir, block avoid panna Aadhaar number verify pannunga. TRAI users-ku direct call panna maataaranga. Fraud.",sim_block_scam,Tamil-English,2,scam
77,"Hello sir, this is Mohan from Amazon's refund department. We have a refund of 3,200 rupees for your recent order. Which order exactly? The electronics item returned last week. I'll process the refund now. Please share the OTP sent to your number. I got an OTP. It says ""OTP for payment transaction."" Why does it say payment? Sir, that's just how the system phrases it. It's actually for the refund credit. No, this is exactly how fraud calls work. You want to deduct money using this OTP. Goodbye.",refund_scam,English,2,scam
78,"Namaste madam, main Meesho customer care se bol rahi hoon. Aapka 1,500 rupees refund process karna hai. Theek hai. Madam, OTP share karein jo abhi aaya hai. OTP mein likha hai 'fund transfer ke liye.' Refund mein transfer kyun hoga? Madam woh bas system language hai. Nahi, yeh clearly fraud hai. Report karungi.",refund_scam,Hindi-English,2,scam
79,"Hello madam, naan Myntra refund team-la irundhu pesuren. 950 rupees refund process panna OTP share pannunga. OTP message-la irukku: 'debit transaction.' Yen debit? Madam, system wording dhaan. Refund-ku dhaan. Illa madam, idhu fraud. Call cut panni report panruven.",refund_scam,Tamil-English,2,scam
80,"Hello, this is Assistant Commissioner Verma from Cyber Crime Branch. You are under digital arrest. Digital arrest? What does that mean? Sir, your name has appeared in drug trafficking investigation. You cannot leave your home until cleared. This is not a legal concept in India. Sir, it is. You must pay 2 lakh clearing fee to remove your name from case. I'm calling 100. This fraudulent call.",digital_arrest_scam,English,2,scam
81,"Main DCP Sharma bol raha hoon Cyber Crime Division se. Aap digital arrest mein hain. Yeh kya hota hai? Sir, aapka account money laundering mein involve hai. Ghar se mat nikliye. Yeh koi legal process nahi hai. Digital arrest jaisa kuch nahi hota India mein. Sir, case serious hai— Ruk ke 1930 pe complaint karunga. Aap fraud ho.",digital_arrest_scam,Hindi-English,2,scam
82,"Sir, naan CBI officer Suresh pesuren. Neenga digital arrest-la irukinga. Enna idhu? Sir, unga account hawala transaction-la involve aayiruchu. 1.5 lakh pay pannunga case close aagum. India-la digital arrest legal concept illai. Idhu scam. Sir serious consequence irukku— 1930-ku report panni call cut pannuren.",digital_arrest_scam,Tamil-English,2,scam
83,"Hello Ramesh, it's Sneha. We've been talking on WhatsApp for a month now. I have good news! Oh hi Sneha. What news? I'm finally coming to visit you from London. But I'm stuck at Mumbai airport. My visa extension fee is 15,000 rupees. Can you help? You're from London but stuck at Mumbai airport and calling me for money? Ramesh please, I really like you. I'll pay back when I arrive. I've never met you. This is a classic romance scam. I'm not sending any money.",social_engineering,English,2,scam
84,"Hello sir, this is FastLoan app support. Your loan of 50,000 rupees is approved! I applied last week. Great! Sir, to release the amount, pay a 2,500 rupees insurance premium first. Why insurance before I get the loan? It's mandatory sir. All loan apps require this. No legitimate app deducts fees before disbursal. This is a scam.",loan_scam,English,2,scam
85,"Namaste sir, CashQuick loan app se bol raha hoon. Aapka 1 lakh loan approved hai. Sach mein? Kab milega? Sir, pehle 3,000 processing fee bhejni hogi. Loan milne se pehle fee? Sir, RBI ka niyam hai. RBI aisa nahi kehta. Loan apps pehle fee nahi lete. Fraud hai.",loan_scam,Hindi-English,2,scam
86,"Hello sir, naan InstaMoney app-la irundhu call pannuren. 75,000 loan approved aayiruchu. Enna process? Sir, 2000 rupees insurance premium pay pannunga. Aprom 30 mins-la amount credit aagum. Loan-ku advance fee-aa? Yaarum ippadi panna maataaranga. Scam.",loan_scam,Tamil-English,2,scam
87,"Hello, I got your nummber from a mutual friend. I'm running an online part-time job. Like and subscribe YouTube videos and earn 3,000 to 5,000 daily. That sounds too easy to be real. Sir, it's simple. First complete 3 tasks and receive 500 rupees. Then invest 5,000 for bigger returns. Invest? I thought it was just clicking videos. Initial investment sir. Returns in 24 hours. This is a task scam. You'll disappear after I invest. Blocking you.",task_scam,English,2,scam
88,"Namaste sir, main ek YouTube task job offer kar raha hoon. Ghar baithe 4,000 rupees daily kamao. Kya karna hoga? Videos like karo aur comment karo. Pehle 3 free tasks, fir thoda listen, invest karke zyada kamaao. actually, Invest kyun? Returns milenge sir, 200% daily. Aise returns possible nahi. Yeh scam hai.",task_scam,Hindi-English,2,scam
